start_time,end_time,consumption,type
2023-08-02 00:00:00-04:00,2023-08-02 00:15:00-04:00,0.225,ELEC
2023-08-02 00:15:00-04:00,2023-08-02 00:30:00-04:00,0.189,ELEC
2023-08-02 00:30:00-04:00,2023-08-02 00:45:00-04:00,0.549,ELEC
2023-08-02 00:45:00-04:00,2023-08-02 01:00:00-04:00,0.735,ELEC
2023-08-02 01:00:00-04:00,2023-08-02 01:15:00-04:00,0.21,ELEC
2023-08-02 01:15:00-04:00,2023-08-02 01:30:00-04:00,0.201,ELEC
2023-08-02 01:30:00-04:00,2023-08-02 01:45:00-04:00,0.201,ELEC
2023-08-02 01:45:00-04:00,2023-08-02 02:00:00-04:00,0.162,ELEC
2023-08-02 02:00:00-04:00,2023-08-02 02:15:00-04:00,0.168,ELEC
2023-08-02 02:15:00-04:00,2023-08-02 02:30:00-04:00,0.192,ELEC
2023-08-02 02:30:00-04:00,2023-08-02 02:45:00-04:00,0.195,ELEC
2023-08-02 02:45:00-04:00,2023-08-02 03:00:00-04:00,0.195,ELEC
2023-08-02 03:00:00-04:00,2023-08-02 03:15:00-04:00,0.228,ELEC
2023-08-02 03:15:00-04:00,2023-08-02 03:30:00-04:00,0.213,ELEC
2023-08-02 03:30:00-04:00,2023-08-02 03:45:00-04:00,0.177,ELEC
2023-08-02 03:45:00-04:00,2023-08-02 04:00:00-04:00,0.192,ELEC
2023-08-02 08:00:00-04:00,2023-08-02 08:15:00-04:00,0.441,ELEC
2023-08-02 08:15:00-04:00,2023-08-02 08:30:00-04:00,0.315,ELEC
2023-08-02 08:30:00-04:00,2023-08-02 08:45:00-04:00,0.318,ELEC
2023-08-02 08:45:00-04:00,2023-08-02 09:00:00-04:00,0.3,ELEC
2023-08-02 09:00:00-04:00,2023-08-02 09:15:00-04:00,0.51,ELEC
2023-08-02 09:15:00-04:00,2023-08-02 09:30:00-04:00,0.39,ELEC
2023-08-02 09:30:00-04:00,2023-08-02 09:45:00-04:00,0.459,ELEC
2023-08-02 09:45:00-04:00,2023-08-02 10:00:00-04:00,0.435,ELEC
2023-08-02 10:00:00-04:00,2023-08-02 10:15:00-04:00,0.504,ELEC
2023-08-02 10:15:00-04:00,2023-08-02 10:30:00-04:00,0.519,ELEC
2023-08-02 10:30:00-04:00,2023-08-02 10:45:00-04:00,0.462,ELEC
2023-08-02 10:45:00-04:00,2023-08-02 11:00:00-04:00,0.423,ELEC
2023-08-02 11:00:00-04:00,2023-08-02 11:15:00-04:00,0.396,ELEC
2023-08-02 11:15:00-04:00,2023-08-02 11:30:00-04:00,0.333,ELEC
2023-08-02 11:30:00-04:00,2023-08-02 11:45:00-04:00,0.336,ELEC
2023-08-02 11:45:00-04:00,2023-08-02 12:00:00-04:00,0.357,ELEC
2023-08-02 12:00:00-04:00,2023-08-02 12:15:00-04:00,0.339,ELEC
2023-08-02 12:15:00-04:00,2023-08-02 12:30:00-04:00,0.291,ELEC
2023-08-02 12:30:00-04:00,2023-08-02 12:45:00-04:00,0.657,ELEC
2023-08-02 12:45:00-04:00,2023-08-02 13:00:00-04:00,0.843,ELEC
2023-08-02 13:00:00-04:00,2023-08-02 13:15:00-04:00,0.327,ELEC
2023-08-02 13:15:00-04:00,2023-08-02 13:30:00-04:00,0.321,ELEC
2023-08-02 13:30:00-04:00,2023-08-02 13:45:00-04:00,0.354,ELEC
2023-08-02 13:45:00-04:00,2023-08-02 14:00:00-04:00,0.33,ELEC
2023-08-02 14:00:00-04:00,2023-08-02 14:15:00-04:00,0.327,ELEC
2023-08-02 14:15:00-04:00,2023-08-02 14:30:00-04:00,0.351,ELEC
2023-08-02 14:30:00-04:00,2023-08-02 14:45:00-04:00,0.711,ELEC
2023-08-02 14:45:00-04:00,2023-08-02 15:00:00-04:00,0.843,ELEC
2023-08-02 15:00:00-04:00,2023-08-02 15:15:00-04:00,0.375,ELEC
2023-08-02 15:15:00-04:00,2023-08-02 15:30:00-04:00,0.459,ELEC
2023-08-02 15:30:00-04:00,2023-08-02 15:45:00-04:00,0.702,ELEC
2023-08-02 15:45:00-04:00,2023-08-02 16:00:00-04:00,0.657,ELEC
2023-08-02 16:00:00-04:00,2023-08-02 16:15:00-04:00,0.498,ELEC
2023-08-02 16:15:00-04:00,2023-08-02 16:30:00-04:00,0.627,ELEC
2023-08-02 16:30:00-04:00,2023-08-02 16:45:00-04:00,0.567,ELEC
