start_time,end_time,consumption,type
2023-01-21 18:30:00-05:00,2023-01-21 18:45:00-05:00,2.535,ELEC
2023-01-21 18:45:00-05:00,2023-01-21 19:00:00-05:00,2.328,ELEC
2023-01-21 19:00:00-05:00,2023-01-21 19:15:00-05:00,1.44,ELEC
2023-01-21 19:15:00-05:00,2023-01-21 19:30:00-05:00,1.407,ELEC
2023-01-21 19:30:00-05:00,2023-01-21 19:45:00-05:00,1.737,ELEC
2023-01-21 19:45:00-05:00,2023-01-21 20:00:00-05:00,2.139,ELEC
2023-01-21 20:00:00-05:00,2023-01-21 20:15:00-05:00,2.781,ELEC
2023-01-21 20:15:00-05:00,2023-01-21 20:30:00-05:00,1.425,ELEC
2023-01-21 20:30:00-05:00,2023-01-21 20:45:00-05:00,1.332,ELEC
2023-01-21 20:45:00-05:00,2023-01-21 21:00:00-05:00,2.445,ELEC
2023-01-21 21:00:00-05:00,2023-01-21 21:15:00-05:00,2.037,ELEC
2023-01-21 21:15:00-05:00,2023-01-21 21:30:00-05:00,1.371,ELEC
2023-01-21 21:30:00-05:00,2023-01-21 21:45:00-05:00,2.28,ELEC
2023-01-21 21:45:00-05:00,2023-01-21 22:00:00-05:00,2.391,ELEC
2023-01-21 22:00:00-05:00,2023-01-21 22:15:00-05:00,1.188,ELEC
2023-01-21 22:15:00-05:00,2023-01-21 22:30:00-05:00,1.152,ELEC
2023-01-21 22:30:00-05:00,2023-01-21 22:45:00-05:00,1.572,ELEC
2023-01-21 22:45:00-05:00,2023-01-21 23:00:00-05:00,1.368,ELEC
2023-01-21 23:00:00-05:00,2023-01-21 23:15:00-05:00,0.831,ELEC
2023-01-21 23:15:00-05:00,2023-01-21 23:30:00-05:00,0.876,ELEC
2023-01-21 23:30:00-05:00,2023-01-21 23:45:00-05:00,1.602,ELEC
2023-01-21 23:45:00-05:00,2023-01-22 00:00:00-05:00,1.107,ELEC
2023-01-22 00:00:00-05:00,2023-01-22 00:15:00-05:00,0.516,ELEC
2023-01-22 00:15:00-05:00,2023-01-22 00:30:00-05:00,0.585,ELEC
2023-01-22 00:30:00-05:00,2023-01-22 00:45:00-05:00,1.59,ELEC
2023-01-22 00:45:00-05:00,2023-01-22 01:00:00-05:00,1.08,ELEC
2023-01-22 01:00:00-05:00,2023-01-22 01:15:00-05:00,0.495,ELEC
2023-01-22 01:15:00-05:00,2023-01-22 01:30:00-05:00,1.509,ELEC
2023-01-22 01:30:00-05:00,2023-01-22 01:45:00-05:00,1.191,ELEC
2023-01-22 01:45:00-05:00,2023-01-22 02:00:00-05:00,0.591,ELEC
2023-01-22 02:00:00-05:00,2023-01-22 02:15:00-05:00,0.489,ELEC
2023-01-22 02:15:00-05:00,2023-01-22 02:30:00-05:00,1.446,ELEC
2023-01-22 02:30:00-05:00,2023-01-22 02:45:00-05:00,1.308,ELEC
2023-01-22 02:45:00-05:00,2023-01-22 03:00:00-05:00,0.573,ELEC
2023-01-22 03:00:00-05:00,2023-01-22 03:15:00-05:00,0.717,ELEC
2023-01-22 03:15:00-05:00,2023-01-22 03:30:00-05:00,1.758,ELEC
2023-01-22 03:30:00-05:00,2023-01-22 03:45:00-05:00,0.879,ELEC
2023-01-22 03:45:00-05:00,2023-01-22 04:00:00-05:00,1.017,ELEC
2023-01-22 04:00:00-05:00,2023-01-22 04:15:00-05:00,1.146,ELEC
2023-01-22 04:15:00-05:00,2023-01-22 04:30:00-05:00,0.708,ELEC
2023-01-22 04:30:00-05:00,2023-01-22 04:45:00-05:00,1.713,ELEC
2023-01-22 04:45:00-05:00,2023-01-22 05:00:00-05:00,0.627,ELEC
2023-01-22 05:00:00-05:00,2023-01-22 05:15:00-05:00,1.182,ELEC
2023-01-22 05:15:00-05:00,2023-01-22 05:30:00-05:00,1.08,ELEC
2023-01-22 05:30:00-05:00,2023-01-22 05:45:00-05:00,0.699,ELEC
2023-01-22 05:45:00-05:00,2023-01-22 06:00:00-05:00,2.064,ELEC
2023-01-22 06:00:00-05:00,2023-01-22 06:15:00-05:00,2.508,ELEC
2023-01-22 06:15:00-05:00,2023-01-22 06:30:00-05:00,2.031,ELEC
2023-01-22 06:30:00-05:00,2023-01-22 06:45:00-05:00,3.321,ELEC
2023-01-22 06:45:00-05:00,2023-01-22 07:00:00-05:00,2.352,ELEC
2023-01-22 07:00:00-05:00,2023-01-22 07:15:00-05:00,2.703,ELEC
2023-01-22 07:15:00-05:00,2023-01-22 07:30:00-05:00,2.37,ELEC
2023-01-22 07:30:00-05:00,2023-01-22 07:45:00-05:00,2.034,ELEC
2023-01-22 07:45:00-05:00,2023-01-22 08:00:00-05:00,3.147,ELEC
2023-01-22 08:00:00-05:00,2023-01-22 08:15:00-05:00,2.589,ELEC
2023-01-22 08:15:00-05:00,2023-01-22 08:30:00-05:00,2.028,ELEC
2023-01-22 08:30:00-05:00,2023-01-22 08:45:00-05:00,2.31,ELEC
2023-01-22 08:45:00-05:00,2023-01-22 09:00:00-05:00,2.004,ELEC
2023-01-22 09:00:00-05:00,2023-01-22 09:15:00-05:00,1.917,ELEC
2023-01-22 09:15:00-05:00,2023-01-22 09:30:00-05:00,1.857,ELEC
2023-01-22 09:30:00-05:00,2023-01-22 09:45:00-05:00,2.724,ELEC
2023-01-22 09:45:00-05:00,2023-01-22 10:00:00-05:00,1.878,ELEC
2023-01-22 10:00:00-05:00,2023-01-22 10:15:00-05:00,2.121,ELEC
2023-01-22 10:15:00-05:00,2023-01-22 10:30:00-05:00,2.112,ELEC
2023-01-22 10:30:00-05:00,2023-01-22 10:45:00-05:00,1.587,ELEC
2023-01-22 10:45:00-05:00,2023-01-22 11:00:00-05:00,2.958,ELEC
2023-01-22 11:00:00-05:00,2023-01-22 11:15:00-05:00,1.689,ELEC
2023-01-22 11:15:00-05:00,2023-01-22 11:30:00-05:00,1.572,ELEC
2023-01-22 11:30:00-05:00,2023-01-22 11:45:00-05:00,2.526,ELEC
2023-01-22 11:45:00-05:00,2023-01-22 12:00:00-05:00,1.668,ELEC
2023-01-22 12:00:00-05:00,2023-01-22 12:15:00-05:00,1.659,ELEC
2023-01-22 12:15:00-05:00,2023-01-22 12:30:00-05:00,2.448,ELEC
2023-01-22 12:30:00-05:00,2023-01-22 12:45:00-05:00,1.818,ELEC
2023-01-22 12:45:00-05:00,2023-01-22 13:00:00-05:00,1.629,ELEC
2023-01-22 13:00:00-05:00,2023-01-22 13:15:00-05:00,2.259,ELEC
2023-01-22 13:15:00-05:00,2023-01-22 13:30:00-05:00,1.593,ELEC
2023-01-22 13:30:00-05:00,2023-01-22 13:45:00-05:00,1.401,ELEC
2023-01-22 13:45:00-05:00,2023-01-22 14:00:00-05:00,2.337,ELEC
2023-01-22 14:00:00-05:00,2023-01-22 14:15:00-05:00,1.356,ELEC
2023-01-22 14:15:00-05:00,2023-01-22 14:30:00-05:00,1.377,ELEC
2023-01-22 14:30:00-05:00,2023-01-22 14:45:00-05:00,1.659,ELEC
2023-01-22 14:45:00-05:00,2023-01-22 15:00:00-05:00,2.109,ELEC
2023-01-22 15:00:00-05:00,2023-01-22 15:15:00-05:00,1.392,ELEC
2023-01-22 15:15:00-05:00,2023-01-22 15:30:00-05:00,1.443,ELEC
2023-01-22 15:30:00-05:00,2023-01-22 15:45:00-05:00,2.319,ELEC
2023-01-22 15:45:00-05:00,2023-01-22 16:00:00-05:00,1.356,ELEC
2023-01-22 16:00:00-05:00,2023-01-22 16:15:00-05:00,1.686,ELEC
2023-01-22 16:15:00-05:00,2023-01-22 16:30:00-05:00,1.404,ELEC
2023-01-22 16:30:00-05:00,2023-01-22 16:45:00-05:00,2.328,ELEC
2023-01-22 16:45:00-05:00,2023-01-22 17:00:00-05:00,1.422,ELEC
2023-01-22 17:00:00-05:00,2023-01-22 17:15:00-05:00,1.374,ELEC
2023-01-22 17:15:00-05:00,2023-01-22 17:30:00-05:00,1.929,ELEC
2023-01-22 17:30:00-05:00,2023-01-22 17:45:00-05:00,1.797,ELEC
2023-01-22 17:45:00-05:00,2023-01-22 18:00:00-05:00,1.791,ELEC
2023-01-22 18:00:00-05:00,2023-01-22 18:15:00-05:00,1.65,ELEC
2023-01-22 18:15:00-05:00,2023-01-22 18:30:00-05:00,2.232,ELEC
2023-01-22 18:30:00-05:00,2023-01-22 18:45:00-05:00,1.653,ELEC
2023-01-22 18:45:00-05:00,2023-01-22 19:00:00-05:00,1.467,ELEC
2023-01-22 19:00:00-05:00,2023-01-22 19:15:00-05:00,1.821,ELEC
2023-01-22 19:15:00-05:00,2023-01-22 19:30:00-05:00,2.241,ELEC
2023-01-22 19:30:00-05:00,2023-01-22 19:45:00-05:00,1.803,ELEC
2023-01-22 19:45:00-05:00,2023-01-22 20:00:00-05:00,2.292,ELEC
2023-01-22 20:00:00-05:00,2023-01-22 20:15:00-05:00,2.964,ELEC
2023-01-22 20:15:00-05:00,2023-01-22 20:30:00-05:00,1.635,ELEC
2023-01-22 20:30:00-05:00,2023-01-22 20:45:00-05:00,1.86,ELEC
2023-01-22 20:45:00-05:00,2023-01-22 21:00:00-05:00,1.818,ELEC
2023-01-22 21:00:00-05:00,2023-01-22 21:15:00-05:00,1.401,ELEC
2023-01-22 21:15:00-05:00,2023-01-22 21:30:00-05:00,2.232,ELEC
2023-01-22 21:30:00-05:00,2023-01-22 21:45:00-05:00,1.257,ELEC
