,start_time,end_time,consumption,type
0,2024-01-13 00:00:00-05:00,2024-01-13 00:15:00-05:00,0.561,ELEC
1,2024-01-13 00:15:00-05:00,2024-01-13 00:30:00-05:00,0.591,ELEC
2,2024-01-13 00:30:00-05:00,2024-01-13 00:45:00-05:00,0.513,ELEC
3,2024-01-13 00:45:00-05:00,2024-01-13 01:00:00-05:00,0.525,ELEC
4,2024-01-13 01:00:00-05:00,2024-01-13 01:15:00-05:00,0.603,ELEC
5,2024-01-13 01:15:00-05:00,2024-01-13 01:30:00-05:00,0.516,ELEC
6,2024-01-13 01:30:00-05:00,2024-01-13 01:45:00-05:00,0.588,ELEC
7,2024-01-13 01:45:00-05:00,2024-01-13 02:00:00-05:00,0.495,ELEC
8,2024-01-13 02:00:00-05:00,2024-01-13 02:15:00-05:00,0.501,ELEC
9,2024-01-13 02:15:00-05:00,2024-01-13 02:30:00-05:00,0.528,ELEC
10,2024-01-13 02:30:00-05:00,2024-01-13 02:45:00-05:00,0.462,ELEC
11,2024-01-13 02:45:00-05:00,2024-01-13 03:00:00-05:00,0.6,ELEC
12,2024-01-13 03:00:00-05:00,2024-01-13 03:15:00-05:00,0.528,ELEC
13,2024-01-13 03:15:00-05:00,2024-01-13 03:30:00-05:00,0.534,ELEC
14,2024-01-13 03:30:00-05:00,2024-01-13 03:45:00-05:00,0.576,ELEC
15,2024-01-13 03:45:00-05:00,2024-01-13 04:00:00-05:00,0.474,ELEC
16,2024-01-13 04:00:00-05:00,2024-01-13 04:15:00-05:00,1.131,ELEC
17,2024-01-13 04:15:00-05:00,2024-01-13 04:30:00-05:00,0.741,ELEC
18,2024-01-13 04:30:00-05:00,2024-01-13 04:45:00-05:00,0.507,ELEC
19,2024-01-13 04:45:00-05:00,2024-01-13 05:00:00-05:00,0.453,ELEC
20,2024-01-13 05:00:00-05:00,2024-01-13 05:15:00-05:00,0.57,ELEC
21,2024-01-13 05:15:00-05:00,2024-01-13 05:30:00-05:00,1.125,ELEC
22,2024-01-13 05:30:00-05:00,2024-01-13 05:45:00-05:00,0.609,ELEC
23,2024-01-13 05:45:00-05:00,2024-01-13 06:00:00-05:00,0.501,ELEC
24,2024-01-13 06:00:00-05:00,2024-01-13 06:15:00-05:00,0.501,ELEC
