start_time,end_time,consumption,type
2024-02-18 00:00:00-05:00,2024-02-18 00:15:00-05:00,0.969,ELEC
2024-02-18 00:15:00-05:00,2024-02-18 00:30:00-05:00,0.927,ELEC
2024-02-18 00:30:00-05:00,2024-02-18 00:45:00-05:00,0.891,ELEC
2024-02-18 00:45:00-05:00,2024-02-18 01:00:00-05:00,0.96,ELEC
2024-02-18 01:00:00-05:00,2024-02-18 01:15:00-05:00,1.005,ELEC
2024-02-18 01:15:00-05:00,2024-02-18 01:30:00-05:00,1.017,ELEC
2024-02-18 01:30:00-05:00,2024-02-18 01:45:00-05:00,1.002,ELEC
2024-02-18 01:45:00-05:00,2024-02-18 02:00:00-05:00,0.933,ELEC
2024-02-18 02:00:00-05:00,2024-02-18 02:15:00-05:00,1.017,ELEC
2024-02-18 02:15:00-05:00,2024-02-18 02:30:00-05:00,1.545,ELEC
2024-02-18 02:30:00-05:00,2024-02-18 02:45:00-05:00,1.422,ELEC
2024-02-18 02:45:00-05:00,2024-02-18 03:00:00-05:00,1.077,ELEC
2024-02-18 03:00:00-05:00,2024-02-18 03:15:00-05:00,1.095,ELEC
2024-02-18 03:15:00-05:00,2024-02-18 03:30:00-05:00,0.966,ELEC
2024-02-18 03:30:00-05:00,2024-02-18 03:45:00-05:00,1.956,ELEC
2024-02-18 03:45:00-05:00,2024-02-18 04:00:00-05:00,1.044,ELEC
2024-02-18 04:00:00-05:00,2024-02-18 04:15:00-05:00,1.005,ELEC
2024-02-18 04:15:00-05:00,2024-02-18 04:30:00-05:00,1.05,ELEC
2024-02-18 04:30:00-05:00,2024-02-18 04:45:00-05:00,1.857,ELEC
2024-02-18 04:45:00-05:00,2024-02-18 05:00:00-05:00,1.116,ELEC
2024-02-18 05:00:00-05:00,2024-02-18 05:15:00-05:00,1.029,ELEC
2024-02-18 05:15:00-05:00,2024-02-18 05:30:00-05:00,0.996,ELEC
2024-02-18 05:30:00-05:00,2024-02-18 05:45:00-05:00,2.499,ELEC
2024-02-18 05:45:00-05:00,2024-02-18 06:00:00-05:00,1.872,ELEC
2024-02-18 06:00:00-05:00,2024-02-18 06:15:00-05:00,2.214,ELEC
2024-02-18 06:15:00-05:00,2024-02-18 06:30:00-05:00,0.933,ELEC
2024-02-18 06:30:00-05:00,2024-02-18 06:45:00-05:00,1.302,ELEC
2024-02-18 06:45:00-05:00,2024-02-18 07:00:00-05:00,1.683,ELEC
2024-02-18 07:00:00-05:00,2024-02-18 07:15:00-05:00,1.179,ELEC
2024-02-18 07:15:00-05:00,2024-02-18 07:30:00-05:00,0.966,ELEC
2024-02-18 07:30:00-05:00,2024-02-18 07:45:00-05:00,1.794,ELEC
2024-02-18 07:45:00-05:00,2024-02-18 08:00:00-05:00,1.482,ELEC
2024-02-18 08:00:00-05:00,2024-02-18 08:15:00-05:00,1.062,ELEC
2024-02-18 08:15:00-05:00,2024-02-18 08:30:00-05:00,1.29,ELEC
2024-02-18 08:30:00-05:00,2024-02-18 08:45:00-05:00,1.758,ELEC
2024-02-18 08:45:00-05:00,2024-02-18 09:00:00-05:00,0.969,ELEC
2024-02-18 09:00:00-05:00,2024-02-18 09:15:00-05:00,0.957,ELEC
2024-02-18 09:15:00-05:00,2024-02-18 09:30:00-05:00,1.803,ELEC
2024-02-18 09:30:00-05:00,2024-02-18 09:45:00-05:00,1.08,ELEC
