,start_time,end_time,consumption,type
70,2023-09-22 17:30:00-04:00,2023-09-22 17:45:00-04:00,0.339,ELEC
71,2023-09-22 17:45:00-04:00,2023-09-22 18:00:00-04:00,0.318,ELEC
72,2023-09-22 18:00:00-04:00,2023-09-22 18:15:00-04:00,0.33,ELEC
73,2023-09-22 18:15:00-04:00,2023-09-22 18:30:00-04:00,0.309,ELEC
74,2023-09-22 18:30:00-04:00,2023-09-22 18:45:00-04:00,0.306,ELEC
75,2023-09-22 18:45:00-04:00,2023-09-22 19:00:00-04:00,0.306,ELEC
76,2023-09-22 19:00:00-04:00,2023-09-22 19:15:00-04:00,0.33,ELEC
77,2023-09-22 19:15:00-04:00,2023-09-22 19:30:00-04:00,0.366,ELEC
78,2023-09-22 19:30:00-04:00,2023-09-22 19:45:00-04:00,0.399,ELEC
79,2023-09-22 19:45:00-04:00,2023-09-22 20:00:00-04:00,0.435,ELEC
80,2023-09-22 20:00:00-04:00,2023-09-22 20:15:00-04:00,0.381,ELEC
81,2023-09-22 20:15:00-04:00,2023-09-22 20:30:00-04:00,0.411,ELEC
82,2023-09-22 20:30:00-04:00,2023-09-22 20:45:00-04:00,0.426,ELEC
83,2023-09-22 20:45:00-04:00,2023-09-22 21:00:00-04:00,0.312,ELEC
84,2023-09-22 21:00:00-04:00,2023-09-22 21:15:00-04:00,0.282,ELEC
85,2023-09-22 21:15:00-04:00,2023-09-22 21:30:00-04:00,0.351,ELEC
86,2023-09-22 21:30:00-04:00,2023-09-22 21:45:00-04:00,0.339,ELEC
87,2023-09-22 21:45:00-04:00,2023-09-22 22:00:00-04:00,0.336,ELEC
88,2023-09-22 22:00:00-04:00,2023-09-22 22:15:00-04:00,0.27,ELEC
89,2023-09-22 22:15:00-04:00,2023-09-22 22:30:00-04:00,0.327,ELEC
90,2023-09-22 22:30:00-04:00,2023-09-22 22:45:00-04:00,0.276,ELEC
91,2023-09-22 22:45:00-04:00,2023-09-22 23:00:00-04:00,0.303,ELEC
92,2023-09-22 23:00:00-04:00,2023-09-22 23:15:00-04:00,0.213,ELEC
93,2023-09-22 23:15:00-04:00,2023-09-22 23:30:00-04:00,0.285,ELEC
94,2023-09-22 23:30:00-04:00,2023-09-22 23:45:00-04:00,0.252,ELEC
95,2023-09-22 23:45:00-04:00,2023-09-23 00:00:00-04:00,0.18,ELEC
96,2023-09-23 00:00:00-04:00,2023-09-23 00:15:00-04:00,0.24,ELEC
97,2023-09-23 00:15:00-04:00,2023-09-23 00:30:00-04:00,0.231,ELEC
98,2023-09-23 00:30:00-04:00,2023-09-23 00:45:00-04:00,0.21,ELEC
99,2023-09-23 00:45:00-04:00,2023-09-23 01:00:00-04:00,0.195,ELEC
100,2023-09-23 01:00:00-04:00,2023-09-23 01:15:00-04:00,0.234,ELEC
101,2023-09-23 01:15:00-04:00,2023-09-23 01:30:00-04:00,0.255,ELEC
102,2023-09-23 01:30:00-04:00,2023-09-23 01:45:00-04:00,0.225,ELEC
103,2023-09-23 01:45:00-04:00,2023-09-23 02:00:00-04:00,0.195,ELEC
104,2023-09-23 02:00:00-04:00,2023-09-23 02:15:00-04:00,0.231,ELEC
105,2023-09-23 02:15:00-04:00,2023-09-23 02:30:00-04:00,0.225,ELEC
106,2023-09-23 02:30:00-04:00,2023-09-23 02:45:00-04:00,0.225,ELEC
107,2023-09-23 02:45:00-04:00,2023-09-23 03:00:00-04:00,0.276,ELEC
108,2023-09-23 03:00:00-04:00,2023-09-23 03:15:00-04:00,0.207,ELEC
109,2023-09-23 03:15:00-04:00,2023-09-23 03:30:00-04:00,0.219,ELEC
110,2023-09-23 03:30:00-04:00,2023-09-23 03:45:00-04:00,0.201,ELEC
111,2023-09-23 03:45:00-04:00,2023-09-23 04:00:00-04:00,0.216,ELEC
112,2023-09-23 04:00:00-04:00,2023-09-23 04:15:00-04:00,0.198,ELEC
113,2023-09-23 04:15:00-04:00,2023-09-23 04:30:00-04:00,0.162,ELEC
114,2023-09-23 04:30:00-04:00,2023-09-23 04:45:00-04:00,0.222,ELEC
115,2023-09-23 04:45:00-04:00,2023-09-23 05:00:00-04:00,0.243,ELEC
116,2023-09-23 05:00:00-04:00,2023-09-23 05:15:00-04:00,0.219,ELEC
117,2023-09-23 05:15:00-04:00,2023-09-23 05:30:00-04:00,0.234,ELEC
118,2023-09-23 05:30:00-04:00,2023-09-23 05:45:00-04:00,0.222,ELEC
119,2023-09-23 05:45:00-04:00,2023-09-23 06:00:00-04:00,0.231,ELEC
120,2023-09-23 06:00:00-04:00,2023-09-23 06:15:00-04:00,0.231,ELEC
121,2023-09-23 06:15:00-04:00,2023-09-23 06:30:00-04:00,0.222,ELEC
122,2023-09-23 06:30:00-04:00,2023-09-23 06:45:00-04:00,0.228,ELEC
123,2023-09-23 06:45:00-04:00,2023-09-23 07:00:00-04:00,0.231,ELEC
124,2023-09-23 07:00:00-04:00,2023-09-23 07:15:00-04:00,0.234,ELEC
125,2023-09-23 07:15:00-04:00,2023-09-23 07:30:00-04:00,0.228,ELEC
126,2023-09-23 07:30:00-04:00,2023-09-23 07:45:00-04:00,0.33,ELEC
127,2023-09-23 07:45:00-04:00,2023-09-23 08:00:00-04:00,0.318,ELEC
128,2023-09-23 08:00:00-04:00,2023-09-23 08:15:00-04:00,0.327,ELEC
129,2023-09-23 08:15:00-04:00,2023-09-23 08:30:00-04:00,0.324,ELEC
130,2023-09-23 08:30:00-04:00,2023-09-23 08:45:00-04:00,0.348,ELEC
131,2023-09-23 08:45:00-04:00,2023-09-23 09:00:00-04:00,0.453,ELEC
132,2023-09-23 09:00:00-04:00,2023-09-23 09:15:00-04:00,0.414,ELEC
133,2023-09-23 09:15:00-04:00,2023-09-23 09:30:00-04:00,0.399,ELEC
134,2023-09-23 09:30:00-04:00,2023-09-23 09:45:00-04:00,0.33,ELEC
135,2023-09-23 09:45:00-04:00,2023-09-23 10:00:00-04:00,0.564,ELEC
136,2023-09-23 10:00:00-04:00,2023-09-23 10:15:00-04:00,0.336,ELEC
137,2023-09-23 10:15:00-04:00,2023-09-23 10:30:00-04:00,0.309,ELEC
138,2023-09-23 10:30:00-04:00,2023-09-23 10:45:00-04:00,0.438,ELEC
139,2023-09-23 10:45:00-04:00,2023-09-23 11:00:00-04:00,0.501,ELEC
140,2023-09-23 11:00:00-04:00,2023-09-23 11:15:00-04:00,0.366,ELEC
141,2023-09-23 11:15:00-04:00,2023-09-23 11:30:00-04:00,0.489,ELEC
142,2023-09-23 11:30:00-04:00,2023-09-23 11:45:00-04:00,0.483,ELEC
143,2023-09-23 11:45:00-04:00,2023-09-23 12:00:00-04:00,0.465,ELEC
144,2023-09-23 12:00:00-04:00,2023-09-23 12:15:00-04:00,0.663,ELEC
145,2023-09-23 12:15:00-04:00,2023-09-23 12:30:00-04:00,0.621,ELEC
146,2023-09-23 12:30:00-04:00,2023-09-23 12:45:00-04:00,0.378,ELEC
147,2023-09-23 12:45:00-04:00,2023-09-23 13:00:00-04:00,0.381,ELEC
148,2023-09-23 13:00:00-04:00,2023-09-23 13:15:00-04:00,0.342,ELEC
149,2023-09-23 13:15:00-04:00,2023-09-23 13:30:00-04:00,0.426,ELEC
150,2023-09-23 13:30:00-04:00,2023-09-23 13:45:00-04:00,0.396,ELEC
151,2023-09-23 13:45:00-04:00,2023-09-23 14:00:00-04:00,0.672,ELEC
152,2023-09-23 14:00:00-04:00,2023-09-23 14:15:00-04:00,0.612,ELEC
153,2023-09-23 14:15:00-04:00,2023-09-23 14:30:00-04:00,0.393,ELEC
154,2023-09-23 14:30:00-04:00,2023-09-23 14:45:00-04:00,0.402,ELEC
155,2023-09-23 14:45:00-04:00,2023-09-23 15:00:00-04:00,0.453,ELEC
156,2023-09-23 15:00:00-04:00,2023-09-23 15:15:00-04:00,0.705,ELEC
157,2023-09-23 15:15:00-04:00,2023-09-23 15:30:00-04:00,0.579,ELEC
158,2023-09-23 15:30:00-04:00,2023-09-23 15:45:00-04:00,0.387,ELEC
159,2023-09-23 15:45:00-04:00,2023-09-23 16:00:00-04:00,0.351,ELEC
160,2023-09-23 16:00:00-04:00,2023-09-23 16:15:00-04:00,0.342,ELEC
161,2023-09-23 16:15:00-04:00,2023-09-23 16:30:00-04:00,0.318,ELEC
162,2023-09-23 16:30:00-04:00,2023-09-23 16:45:00-04:00,0.306,ELEC
163,2023-09-23 16:45:00-04:00,2023-09-23 17:00:00-04:00,0.507,ELEC
164,2023-09-23 17:00:00-04:00,2023-09-23 17:15:00-04:00,0.549,ELEC
165,2023-09-23 17:15:00-04:00,2023-09-23 17:30:00-04:00,0.48,ELEC
166,2023-09-23 17:30:00-04:00,2023-09-23 17:45:00-04:00,0.516,ELEC
167,2023-09-23 17:45:00-04:00,2023-09-23 18:00:00-04:00,0.489,ELEC
168,2023-09-23 18:00:00-04:00,2023-09-23 18:15:00-04:00,0.567,ELEC
169,2023-09-23 18:15:00-04:00,2023-09-23 18:30:00-04:00,0.63,ELEC
170,2023-09-23 18:30:00-04:00,2023-09-23 18:45:00-04:00,0.354,ELEC
171,2023-09-23 18:45:00-04:00,2023-09-23 19:00:00-04:00,0.267,ELEC
172,2023-09-23 19:00:00-04:00,2023-09-23 19:15:00-04:00,0.273,ELEC
173,2023-09-23 19:15:00-04:00,2023-09-23 19:30:00-04:00,0.288,ELEC
174,2023-09-23 19:30:00-04:00,2023-09-23 19:45:00-04:00,0.279,ELEC
175,2023-09-23 19:45:00-04:00,2023-09-23 20:00:00-04:00,0.285,ELEC
176,2023-09-23 20:00:00-04:00,2023-09-23 20:15:00-04:00,0.327,ELEC
177,2023-09-23 20:15:00-04:00,2023-09-23 20:30:00-04:00,0.27,ELEC
178,2023-09-23 20:30:00-04:00,2023-09-23 20:45:00-04:00,0.264,ELEC
179,2023-09-23 20:45:00-04:00,2023-09-23 21:00:00-04:00,0.318,ELEC
180,2023-09-23 21:00:00-04:00,2023-09-23 21:15:00-04:00,0.3,ELEC
181,2023-09-23 21:15:00-04:00,2023-09-23 21:30:00-04:00,0.267,ELEC
182,2023-09-23 21:30:00-04:00,2023-09-23 21:45:00-04:00,0.399,ELEC
183,2023-09-23 21:45:00-04:00,2023-09-23 22:00:00-04:00,0.375,ELEC
184,2023-09-23 22:00:00-04:00,2023-09-23 22:15:00-04:00,0.333,ELEC
185,2023-09-23 22:15:00-04:00,2023-09-23 22:30:00-04:00,0.348,ELEC
186,2023-09-23 22:30:00-04:00,2023-09-23 22:45:00-04:00,0.369,ELEC
187,2023-09-23 22:45:00-04:00,2023-09-23 23:00:00-04:00,0.393,ELEC
188,2023-09-23 23:00:00-04:00,2023-09-23 23:15:00-04:00,0.36,ELEC
189,2023-09-23 23:15:00-04:00,2023-09-23 23:30:00-04:00,0.351,ELEC
190,2023-09-23 23:30:00-04:00,2023-09-23 23:45:00-04:00,0.312,ELEC
191,2023-09-23 23:45:00-04:00,2023-09-24 00:00:00-04:00,0.243,ELEC
192,2023-10-09 00:00:00-04:00,2023-10-09 00:15:00-04:00,0.168,ELEC
193,2023-10-09 00:15:00-04:00,2023-10-09 00:30:00-04:00,0.171,ELEC
194,2023-10-09 00:30:00-04:00,2023-10-09 00:45:00-04:00,0.201,ELEC
195,2023-10-09 00:45:00-04:00,2023-10-09 01:00:00-04:00,0.183,ELEC
196,2023-10-09 01:00:00-04:00,2023-10-09 01:15:00-04:00,0.141,ELEC
197,2023-10-09 01:15:00-04:00,2023-10-09 01:30:00-04:00,0.15,ELEC
198,2023-10-09 01:30:00-04:00,2023-10-09 01:45:00-04:00,0.177,ELEC
199,2023-10-09 01:45:00-04:00,2023-10-09 02:00:00-04:00,0.324,ELEC
200,2023-10-09 02:00:00-04:00,2023-10-09 02:15:00-04:00,1.314,ELEC
201,2023-10-09 02:15:00-04:00,2023-10-09 02:30:00-04:00,0.459,ELEC
202,2023-10-09 02:30:00-04:00,2023-10-09 02:45:00-04:00,0.165,ELEC
203,2023-10-09 02:45:00-04:00,2023-10-09 03:00:00-04:00,0.144,ELEC
204,2023-10-09 03:00:00-04:00,2023-10-09 03:15:00-04:00,0.156,ELEC
205,2023-10-09 03:15:00-04:00,2023-10-09 03:30:00-04:00,0.195,ELEC
206,2023-10-09 03:30:00-04:00,2023-10-09 03:45:00-04:00,0.177,ELEC
207,2023-10-09 03:45:00-04:00,2023-10-09 04:00:00-04:00,0.189,ELEC
208,2023-10-09 04:00:00-04:00,2023-10-09 04:15:00-04:00,0.219,ELEC
209,2023-10-09 04:15:00-04:00,2023-10-09 04:30:00-04:00,0.198,ELEC
210,2023-10-09 04:30:00-04:00,2023-10-09 04:45:00-04:00,0.141,ELEC
211,2023-10-09 04:45:00-04:00,2023-10-09 05:00:00-04:00,1.056,ELEC
212,2023-10-09 05:00:00-04:00,2023-10-09 05:15:00-04:00,0.477,ELEC
213,2023-10-09 05:15:00-04:00,2023-10-09 05:30:00-04:00,0.183,ELEC
214,2023-10-09 05:30:00-04:00,2023-10-09 05:45:00-04:00,0.165,ELEC
215,2023-10-09 05:45:00-04:00,2023-10-09 06:00:00-04:00,0.18,ELEC
216,2023-10-09 06:00:00-04:00,2023-10-09 06:15:00-04:00,0.174,ELEC
217,2023-10-09 06:15:00-04:00,2023-10-09 06:30:00-04:00,1.134,ELEC
218,2023-10-09 06:30:00-04:00,2023-10-09 06:45:00-04:00,0.267,ELEC
219,2023-10-09 06:45:00-04:00,2023-10-09 07:00:00-04:00,0.21,ELEC
220,2023-10-09 07:00:00-04:00,2023-10-09 07:15:00-04:00,1.116,ELEC
221,2023-10-09 07:15:00-04:00,2023-10-09 07:30:00-04:00,0.81,ELEC
222,2023-10-09 07:30:00-04:00,2023-10-09 07:45:00-04:00,0.642,ELEC
223,2023-10-09 07:45:00-04:00,2023-10-09 08:00:00-04:00,1.38,ELEC
224,2023-10-09 08:00:00-04:00,2023-10-09 08:15:00-04:00,1.314,ELEC
225,2023-10-09 08:15:00-04:00,2023-10-09 08:30:00-04:00,1.059,ELEC
226,2023-10-09 08:30:00-04:00,2023-10-09 08:45:00-04:00,1.605,ELEC
227,2023-10-09 08:45:00-04:00,2023-10-09 09:00:00-04:00,1.971,ELEC
228,2023-10-09 09:00:00-04:00,2023-10-09 09:15:00-04:00,1.797,ELEC
229,2023-10-09 09:15:00-04:00,2023-10-09 09:30:00-04:00,2.103,ELEC
230,2023-10-09 09:30:00-04:00,2023-10-09 09:45:00-04:00,0.993,ELEC
231,2023-10-09 09:45:00-04:00,2023-10-09 10:00:00-04:00,0.933,ELEC
232,2023-10-09 10:00:00-04:00,2023-10-09 10:15:00-04:00,0.918,ELEC
233,2023-10-09 10:15:00-04:00,2023-10-09 10:30:00-04:00,0.864,ELEC
234,2023-10-09 10:30:00-04:00,2023-10-09 10:45:00-04:00,0.864,ELEC
235,2023-10-09 10:45:00-04:00,2023-10-09 11:00:00-04:00,0.885,ELEC
236,2023-10-09 11:00:00-04:00,2023-10-09 11:15:00-04:00,0.933,ELEC
237,2023-10-09 11:15:00-04:00,2023-10-09 11:30:00-04:00,0.933,ELEC
238,2023-10-09 11:30:00-04:00,2023-10-09 11:45:00-04:00,0.81,ELEC
239,2023-10-09 11:45:00-04:00,2023-10-09 12:00:00-04:00,1.083,ELEC
240,2023-10-09 12:00:00-04:00,2023-10-09 12:15:00-04:00,0.984,ELEC
241,2023-10-09 12:15:00-04:00,2023-10-09 12:30:00-04:00,0.948,ELEC
242,2023-10-09 12:30:00-04:00,2023-10-09 12:45:00-04:00,0.606,ELEC
243,2023-10-09 12:45:00-04:00,2023-10-09 13:00:00-04:00,0.666,ELEC
244,2023-10-09 13:00:00-04:00,2023-10-09 13:15:00-04:00,0.708,ELEC
245,2023-10-09 13:15:00-04:00,2023-10-09 13:30:00-04:00,0.795,ELEC
246,2023-10-09 13:30:00-04:00,2023-10-09 13:45:00-04:00,0.717,ELEC
247,2023-10-09 13:45:00-04:00,2023-10-09 14:00:00-04:00,0.687,ELEC
248,2023-10-09 14:00:00-04:00,2023-10-09 14:15:00-04:00,0.723,ELEC
249,2023-10-09 14:15:00-04:00,2023-10-09 14:30:00-04:00,0.579,ELEC
250,2023-10-09 14:30:00-04:00,2023-10-09 14:45:00-04:00,0.591,ELEC
251,2023-10-09 14:45:00-04:00,2023-10-09 15:00:00-04:00,0.627,ELEC
252,2023-10-09 15:00:00-04:00,2023-10-09 15:15:00-04:00,0.612,ELEC
253,2023-10-09 15:15:00-04:00,2023-10-09 15:30:00-04:00,0.672,ELEC
254,2023-10-09 15:30:00-04:00,2023-10-09 15:45:00-04:00,0.624,ELEC
