,start_time,end_time,consumption,type
0,2024-04-14 00:00:00-04:00,2024-04-14 00:15:00-04:00,0.342,ELEC
1,2024-04-14 00:15:00-04:00,2024-04-14 00:30:00-04:00,0.342,ELEC
2,2024-04-14 00:30:00-04:00,2024-04-14 00:45:00-04:00,0.315,ELEC
3,2024-04-14 00:45:00-04:00,2024-04-14 01:00:00-04:00,0.309,ELEC
4,2024-04-14 01:00:00-04:00,2024-04-14 01:15:00-04:00,0.348,ELEC
5,2024-04-14 01:15:00-04:00,2024-04-14 01:30:00-04:00,0.42,ELEC
6,2024-04-14 01:30:00-04:00,2024-04-14 01:45:00-04:00,0.336,ELEC
7,2024-04-14 01:45:00-04:00,2024-04-14 02:00:00-04:00,0.33,ELEC
8,2024-04-14 02:00:00-04:00,2024-04-14 02:15:00-04:00,0.381,ELEC
9,2024-04-14 02:15:00-04:00,2024-04-14 02:30:00-04:00,0.378,ELEC
10,2024-04-14 02:30:00-04:00,2024-04-14 02:45:00-04:00,0.39,ELEC
11,2024-04-14 02:45:00-04:00,2024-04-14 03:00:00-04:00,0.312,ELEC
12,2024-04-14 03:00:00-04:00,2024-04-14 03:15:00-04:00,0.306,ELEC
13,2024-04-14 03:15:00-04:00,2024-04-14 03:30:00-04:00,0.399,ELEC
14,2024-04-14 03:30:00-04:00,2024-04-14 03:45:00-04:00,0.318,ELEC
15,2024-04-14 03:45:00-04:00,2024-04-14 04:00:00-04:00,0.381,ELEC
16,2024-04-14 04:00:00-04:00,2024-04-14 04:15:00-04:00,0.3,ELEC
17,2024-04-14 04:15:00-04:00,2024-04-14 04:30:00-04:00,0.393,ELEC
18,2024-04-14 04:30:00-04:00,2024-04-14 04:45:00-04:00,0.399,ELEC
19,2024-04-14 04:45:00-04:00,2024-04-14 05:00:00-04:00,0.36,ELEC
20,2024-04-14 05:00:00-04:00,2024-04-14 05:15:00-04:00,0.375,ELEC
21,2024-04-14 05:15:00-04:00,2024-04-14 05:30:00-04:00,0.354,ELEC
22,2024-04-14 05:30:00-04:00,2024-04-14 05:45:00-04:00,0.324,ELEC
23,2024-04-14 05:45:00-04:00,2024-04-14 06:00:00-04:00,0.393,ELEC
24,2024-04-14 06:00:00-04:00,2024-04-14 06:15:00-04:00,0.438,ELEC
25,2024-04-14 06:15:00-04:00,2024-04-14 06:30:00-04:00,1.263,ELEC
26,2024-04-14 06:30:00-04:00,2024-04-14 06:45:00-04:00,0.477,ELEC
27,2024-04-14 06:45:00-04:00,2024-04-14 07:00:00-04:00,0.489,ELEC
28,2024-04-14 07:00:00-04:00,2024-04-14 07:15:00-04:00,0.402,ELEC
29,2024-04-14 07:15:00-04:00,2024-04-14 07:30:00-04:00,0.465,ELEC
30,2024-04-14 07:30:00-04:00,2024-04-14 07:45:00-04:00,1.605,ELEC
31,2024-04-14 07:45:00-04:00,2024-04-14 08:00:00-04:00,1.248,ELEC
32,2024-04-14 08:00:00-04:00,2024-04-14 08:15:00-04:00,1.386,ELEC
33,2024-04-14 08:15:00-04:00,2024-04-14 08:30:00-04:00,1.764,ELEC
34,2024-04-14 08:30:00-04:00,2024-04-14 08:45:00-04:00,1.038,ELEC
35,2024-04-14 08:45:00-04:00,2024-04-14 09:00:00-04:00,1.623,ELEC
36,2024-04-14 09:00:00-04:00,2024-04-14 09:15:00-04:00,1.14,ELEC
37,2024-04-14 09:15:00-04:00,2024-04-14 09:30:00-04:00,1.254,ELEC
38,2024-04-14 09:30:00-04:00,2024-04-14 09:45:00-04:00,1.056,ELEC
39,2024-04-14 09:45:00-04:00,2024-04-14 10:00:00-04:00,0.978,ELEC
40,2024-04-14 10:00:00-04:00,2024-04-14 10:15:00-04:00,1.017,ELEC
41,2024-04-14 10:15:00-04:00,2024-04-14 10:30:00-04:00,0.939,ELEC
42,2024-04-14 10:30:00-04:00,2024-04-14 10:45:00-04:00,0.873,ELEC
43,2024-04-14 10:45:00-04:00,2024-04-14 11:00:00-04:00,0.84,ELEC
44,2024-04-14 11:00:00-04:00,2024-04-14 11:15:00-04:00,0.885,ELEC
45,2024-04-14 11:15:00-04:00,2024-04-14 11:30:00-04:00,0.78,ELEC
46,2024-04-14 11:30:00-04:00,2024-04-14 11:45:00-04:00,0.792,ELEC
47,2024-04-14 11:45:00-04:00,2024-04-14 12:00:00-04:00,0.825,ELEC
48,2024-04-14 12:00:00-04:00,2024-04-14 12:15:00-04:00,0.882,ELEC
49,2024-04-14 12:15:00-04:00,2024-04-14 12:30:00-04:00,0.615,ELEC
50,2024-04-14 12:30:00-04:00,2024-04-14 12:45:00-04:00,0.792,ELEC
51,2024-04-14 12:45:00-04:00,2024-04-14 13:00:00-04:00,0.798,ELEC
52,2024-04-14 13:00:00-04:00,2024-04-14 13:15:00-04:00,0.834,ELEC
53,2024-04-14 13:15:00-04:00,2024-04-14 13:30:00-04:00,1.05,ELEC
54,2024-04-14 13:30:00-04:00,2024-04-14 13:45:00-04:00,0.834,ELEC
55,2024-04-14 13:45:00-04:00,2024-04-14 14:00:00-04:00,0.876,ELEC
56,2024-04-14 14:00:00-04:00,2024-04-14 14:15:00-04:00,0.846,ELEC
57,2024-04-14 14:15:00-04:00,2024-04-14 14:30:00-04:00,0.918,ELEC
58,2024-04-14 14:30:00-04:00,2024-04-14 14:45:00-04:00,0.711,ELEC
59,2024-04-14 14:45:00-04:00,2024-04-14 15:00:00-04:00,0.639,ELEC
60,2024-04-14 15:00:00-04:00,2024-04-14 15:15:00-04:00,0.606,ELEC
61,2024-04-14 15:15:00-04:00,2024-04-14 15:30:00-04:00,0.588,ELEC
62,2024-04-14 15:30:00-04:00,2024-04-14 15:45:00-04:00,0.543,ELEC
63,2024-04-14 15:45:00-04:00,2024-04-14 16:00:00-04:00,0.606,ELEC
64,2024-04-14 16:00:00-04:00,2024-04-14 16:15:00-04:00,0.513,ELEC
65,2024-04-14 16:15:00-04:00,2024-04-14 16:30:00-04:00,0.51,ELEC
66,2024-04-14 16:30:00-04:00,2024-04-14 16:45:00-04:00,0.576,ELEC
67,2024-04-14 16:45:00-04:00,2024-04-14 17:00:00-04:00,0.528,ELEC
68,2024-04-14 17:00:00-04:00,2024-04-14 17:15:00-04:00,0.492,ELEC
69,2024-04-14 17:15:00-04:00,2024-04-14 17:30:00-04:00,0.477,ELEC
70,2024-04-14 17:30:00-04:00,2024-04-14 17:45:00-04:00,0.462,ELEC
71,2024-04-14 17:45:00-04:00,2024-04-14 18:00:00-04:00,0.45,ELEC
72,2024-04-14 18:00:00-04:00,2024-04-14 18:15:00-04:00,0.513,ELEC
73,2024-04-14 18:15:00-04:00,2024-04-14 18:30:00-04:00,0.462,ELEC
74,2024-04-14 18:30:00-04:00,2024-04-14 18:45:00-04:00,0.537,ELEC
75,2024-04-14 18:45:00-04:00,2024-04-14 19:00:00-04:00,1.338,ELEC
76,2024-04-14 19:00:00-04:00,2024-04-14 19:15:00-04:00,0.642,ELEC
77,2024-04-14 19:15:00-04:00,2024-04-14 19:30:00-04:00,0.63,ELEC
78,2024-04-14 19:30:00-04:00,2024-04-14 19:45:00-04:00,0.684,ELEC
79,2024-04-14 19:45:00-04:00,2024-04-14 20:00:00-04:00,0.753,ELEC
80,2024-04-14 20:00:00-04:00,2024-04-14 20:15:00-04:00,0.66,ELEC
81,2024-04-14 20:15:00-04:00,2024-04-14 20:30:00-04:00,0.729,ELEC
82,2024-04-14 20:30:00-04:00,2024-04-14 20:45:00-04:00,0.894,ELEC
83,2024-04-14 20:45:00-04:00,2024-04-14 21:00:00-04:00,1.479,ELEC
84,2024-04-14 21:00:00-04:00,2024-04-14 21:15:00-04:00,0.66,ELEC
85,2024-04-14 21:15:00-04:00,2024-04-14 21:30:00-04:00,0.555,ELEC
86,2024-04-14 21:30:00-04:00,2024-04-14 21:45:00-04:00,0.474,ELEC
87,2024-04-14 21:45:00-04:00,2024-04-14 22:00:00-04:00,0.465,ELEC
88,2024-04-14 22:00:00-04:00,2024-04-14 22:15:00-04:00,0.471,ELEC
89,2024-04-14 22:15:00-04:00,2024-04-14 22:30:00-04:00,0.462,ELEC
90,2024-04-14 22:30:00-04:00,2024-04-14 22:45:00-04:00,0.411,ELEC
91,2024-04-14 22:45:00-04:00,2024-04-14 23:00:00-04:00,0.288,ELEC
92,2024-04-14 23:00:00-04:00,2024-04-14 23:15:00-04:00,0.276,ELEC
93,2024-04-14 23:15:00-04:00,2024-04-14 23:30:00-04:00,0.321,ELEC
94,2024-04-14 23:30:00-04:00,2024-04-14 23:45:00-04:00,0.279,ELEC
95,2024-04-14 23:45:00-04:00,2024-04-15 00:00:00-04:00,0.255,ELEC
96,2024-04-15 00:00:00-04:00,2024-04-15 00:15:00-04:00,0.279,ELEC
97,2024-04-15 00:15:00-04:00,2024-04-15 00:30:00-04:00,0.312,ELEC
98,2024-04-15 00:30:00-04:00,2024-04-15 00:45:00-04:00,0.288,ELEC
99,2024-04-15 00:45:00-04:00,2024-04-15 01:00:00-04:00,0.267,ELEC
100,2024-04-15 01:00:00-04:00,2024-04-15 01:15:00-04:00,0.261,ELEC
101,2024-04-15 01:15:00-04:00,2024-04-15 01:30:00-04:00,0.303,ELEC
102,2024-04-15 01:30:00-04:00,2024-04-15 01:45:00-04:00,0.261,ELEC
103,2024-04-15 01:45:00-04:00,2024-04-15 02:00:00-04:00,0.273,ELEC
104,2024-04-15 02:00:00-04:00,2024-04-15 02:15:00-04:00,0.297,ELEC
105,2024-04-15 02:15:00-04:00,2024-04-15 02:30:00-04:00,0.3,ELEC
106,2024-04-15 02:30:00-04:00,2024-04-15 02:45:00-04:00,0.318,ELEC
107,2024-04-15 02:45:00-04:00,2024-04-15 03:00:00-04:00,0.27,ELEC
108,2024-04-15 03:00:00-04:00,2024-04-15 03:15:00-04:00,0.336,ELEC
109,2024-04-15 03:15:00-04:00,2024-04-15 03:30:00-04:00,0.312,ELEC
110,2024-04-15 03:30:00-04:00,2024-04-15 03:45:00-04:00,0.267,ELEC
111,2024-04-15 03:45:00-04:00,2024-04-15 04:00:00-04:00,0.297,ELEC
112,2024-04-15 04:00:00-04:00,2024-04-15 04:15:00-04:00,0.321,ELEC
113,2024-04-15 04:15:00-04:00,2024-04-15 04:30:00-04:00,0.294,ELEC
114,2024-04-15 04:30:00-04:00,2024-04-15 04:45:00-04:00,0.306,ELEC
115,2024-04-15 04:45:00-04:00,2024-04-15 05:00:00-04:00,0.312,ELEC
116,2024-04-15 05:00:00-04:00,2024-04-15 05:15:00-04:00,0.288,ELEC
117,2024-04-15 05:15:00-04:00,2024-04-15 05:30:00-04:00,0.273,ELEC
118,2024-04-15 05:30:00-04:00,2024-04-15 05:45:00-04:00,0.297,ELEC
119,2024-04-15 05:45:00-04:00,2024-04-15 06:00:00-04:00,0.318,ELEC
120,2024-04-15 06:00:00-04:00,2024-04-15 06:15:00-04:00,0.6,ELEC
121,2024-04-15 06:15:00-04:00,2024-04-15 06:30:00-04:00,0.396,ELEC
122,2024-04-15 06:30:00-04:00,2024-04-15 06:45:00-04:00,0.444,ELEC
123,2024-04-15 06:45:00-04:00,2024-04-15 07:00:00-04:00,0.444,ELEC
124,2024-04-15 07:00:00-04:00,2024-04-15 07:15:00-04:00,1.197,ELEC
125,2024-04-15 07:15:00-04:00,2024-04-15 07:30:00-04:00,0.495,ELEC
126,2024-04-15 07:30:00-04:00,2024-04-15 07:45:00-04:00,0.687,ELEC
127,2024-04-15 07:45:00-04:00,2024-04-15 08:00:00-04:00,0.921,ELEC
128,2024-04-15 08:00:00-04:00,2024-04-15 08:15:00-04:00,1.329,ELEC
129,2024-04-15 08:15:00-04:00,2024-04-15 08:30:00-04:00,0.825,ELEC
130,2024-04-15 08:30:00-04:00,2024-04-15 08:45:00-04:00,0.882,ELEC
131,2024-04-15 08:45:00-04:00,2024-04-15 09:00:00-04:00,0.765,ELEC
132,2024-04-15 09:00:00-04:00,2024-04-15 09:15:00-04:00,0.819,ELEC
133,2024-04-15 09:15:00-04:00,2024-04-15 09:30:00-04:00,0.93,ELEC
134,2024-04-15 09:30:00-04:00,2024-04-15 09:45:00-04:00,1.143,ELEC
135,2024-04-15 09:45:00-04:00,2024-04-15 10:00:00-04:00,0.984,ELEC
136,2024-04-15 10:00:00-04:00,2024-04-15 10:15:00-04:00,0.837,ELEC
137,2024-04-15 10:15:00-04:00,2024-04-15 10:30:00-04:00,1.068,ELEC
138,2024-04-15 10:30:00-04:00,2024-04-15 10:45:00-04:00,0.96,ELEC
139,2024-04-15 10:45:00-04:00,2024-04-15 11:00:00-04:00,0.714,ELEC
140,2024-04-15 11:00:00-04:00,2024-04-15 11:15:00-04:00,0.741,ELEC
