,start_time,end_time,consumption,type
0,2024-02-18 00:00:00-05:00,2024-02-18 00:15:00-05:00,0.969,ELEC
1,2024-02-18 00:15:00-05:00,2024-02-18 00:30:00-05:00,0.927,ELEC
2,2024-02-18 00:30:00-05:00,2024-02-18 00:45:00-05:00,0.891,ELEC
3,2024-02-18 00:45:00-05:00,2024-02-18 01:00:00-05:00,0.96,ELEC
4,2024-02-18 01:00:00-05:00,2024-02-18 01:15:00-05:00,1.005,ELEC
5,2024-02-18 01:15:00-05:00,2024-02-18 01:30:00-05:00,1.017,ELEC
6,2024-02-18 01:30:00-05:00,2024-02-18 01:45:00-05:00,1.002,ELEC
7,2024-02-18 01:45:00-05:00,2024-02-18 02:00:00-05:00,0.933,ELEC
8,2024-02-18 02:00:00-05:00,2024-02-18 02:15:00-05:00,1.017,ELEC
9,2024-02-18 02:15:00-05:00,2024-02-18 02:30:00-05:00,1.545,ELEC
10,2024-02-18 02:30:00-05:00,2024-02-18 02:45:00-05:00,1.422,ELEC
11,2024-02-18 02:45:00-05:00,2024-02-18 03:00:00-05:00,1.077,ELEC
12,2024-02-18 03:00:00-05:00,2024-02-18 03:15:00-05:00,1.095,ELEC
13,2024-02-18 03:15:00-05:00,2024-02-18 03:30:00-05:00,0.966,ELEC
14,2024-02-18 03:30:00-05:00,2024-02-18 03:45:00-05:00,1.956,ELEC
15,2024-02-18 03:45:00-05:00,2024-02-18 04:00:00-05:00,1.044,ELEC
16,2024-02-18 04:00:00-05:00,2024-02-18 04:15:00-05:00,1.005,ELEC
17,2024-02-18 04:15:00-05:00,2024-02-18 04:30:00-05:00,1.05,ELEC
18,2024-02-18 04:30:00-05:00,2024-02-18 04:45:00-05:00,1.857,ELEC
19,2024-02-18 04:45:00-05:00,2024-02-18 05:00:00-05:00,1.116,ELEC
20,2024-02-18 05:00:00-05:00,2024-02-18 05:15:00-05:00,1.029,ELEC
21,2024-02-18 05:15:00-05:00,2024-02-18 05:30:00-05:00,0.996,ELEC
22,2024-02-18 05:30:00-05:00,2024-02-18 05:45:00-05:00,2.499,ELEC
23,2024-02-18 05:45:00-05:00,2024-02-18 06:00:00-05:00,1.872,ELEC
24,2024-02-18 06:00:00-05:00,2024-02-18 06:15:00-05:00,2.214,ELEC
25,2024-02-18 06:15:00-05:00,2024-02-18 06:30:00-05:00,0.933,ELEC
26,2024-02-18 06:30:00-05:00,2024-02-18 06:45:00-05:00,1.302,ELEC
27,2024-02-18 06:45:00-05:00,2024-02-18 07:00:00-05:00,1.683,ELEC
28,2024-02-18 07:00:00-05:00,2024-02-18 07:15:00-05:00,1.179,ELEC
29,2024-02-18 07:15:00-05:00,2024-02-18 07:30:00-05:00,0.966,ELEC
30,2024-02-18 07:30:00-05:00,2024-02-18 07:45:00-05:00,1.794,ELEC
31,2024-02-18 07:45:00-05:00,2024-02-18 08:00:00-05:00,1.482,ELEC
32,2024-02-18 08:00:00-05:00,2024-02-18 08:15:00-05:00,1.062,ELEC
33,2024-02-18 08:15:00-05:00,2024-02-18 08:30:00-05:00,1.29,ELEC
34,2024-02-18 08:30:00-05:00,2024-02-18 08:45:00-05:00,1.758,ELEC
35,2024-02-18 08:45:00-05:00,2024-02-18 09:00:00-05:00,0.969,ELEC
36,2024-02-18 09:00:00-05:00,2024-02-18 09:15:00-05:00,0.957,ELEC
37,2024-02-18 09:15:00-05:00,2024-02-18 09:30:00-05:00,1.803,ELEC
38,2024-02-18 09:30:00-05:00,2024-02-18 09:45:00-05:00,1.08,ELEC
39,2024-02-18 09:45:00-05:00,2024-02-18 10:00:00-05:00,0.972,ELEC
40,2024-02-18 10:00:00-05:00,2024-02-18 10:15:00-05:00,0.912,ELEC
41,2024-02-18 10:15:00-05:00,2024-02-18 10:30:00-05:00,1.887,ELEC
42,2024-02-18 10:30:00-05:00,2024-02-18 10:45:00-05:00,0.993,ELEC
43,2024-02-18 10:45:00-05:00,2024-02-18 11:00:00-05:00,0.966,ELEC
44,2024-02-18 11:00:00-05:00,2024-02-18 11:15:00-05:00,1.146,ELEC
45,2024-02-18 11:15:00-05:00,2024-02-18 11:30:00-05:00,1.515,ELEC
46,2024-02-18 11:30:00-05:00,2024-02-18 11:45:00-05:00,0.951,ELEC
47,2024-02-18 11:45:00-05:00,2024-02-18 12:00:00-05:00,0.834,ELEC
48,2024-02-18 12:00:00-05:00,2024-02-18 12:15:00-05:00,0.912,ELEC
49,2024-02-18 12:15:00-05:00,2024-02-18 12:30:00-05:00,0.975,ELEC
50,2024-02-18 12:30:00-05:00,2024-02-18 12:45:00-05:00,1.305,ELEC
51,2024-02-18 12:45:00-05:00,2024-02-18 13:00:00-05:00,1.365,ELEC
52,2024-02-18 13:00:00-05:00,2024-02-18 13:15:00-05:00,1.005,ELEC
53,2024-02-18 13:15:00-05:00,2024-02-18 13:30:00-05:00,0.906,ELEC
54,2024-02-18 13:30:00-05:00,2024-02-18 13:45:00-05:00,1.68,ELEC
55,2024-02-18 13:45:00-05:00,2024-02-18 14:00:00-05:00,0.945,ELEC
56,2024-02-18 14:00:00-05:00,2024-02-18 14:15:00-05:00,0.852,ELEC
57,2024-02-18 14:15:00-05:00,2024-02-18 14:30:00-05:00,1.263,ELEC
58,2024-02-18 14:30:00-05:00,2024-02-18 14:45:00-05:00,1.314,ELEC
59,2024-02-18 14:45:00-05:00,2024-02-18 15:00:00-05:00,0.741,ELEC
60,2024-02-18 15:00:00-05:00,2024-02-18 15:15:00-05:00,0.834,ELEC
