start_time,end_time,consumption,type
2024-04-14 00:00:00-04:00,2024-04-14 00:15:00-04:00,0.342,ELEC
2024-04-14 00:15:00-04:00,2024-04-14 00:30:00-04:00,0.342,ELEC
2024-04-14 00:30:00-04:00,2024-04-14 00:45:00-04:00,0.315,ELEC
2024-04-14 00:45:00-04:00,2024-04-14 01:00:00-04:00,0.309,ELEC
2024-04-14 01:00:00-04:00,2024-04-14 01:15:00-04:00,0.348,ELEC
2024-04-14 01:15:00-04:00,2024-04-14 01:30:00-04:00,0.42,ELEC
2024-04-14 01:30:00-04:00,2024-04-14 01:45:00-04:00,0.336,ELEC
2024-04-14 01:45:00-04:00,2024-04-14 02:00:00-04:00,0.33,ELEC
2024-04-14 02:00:00-04:00,2024-04-14 02:15:00-04:00,0.381,ELEC
2024-04-14 02:15:00-04:00,2024-04-14 02:30:00-04:00,0.378,ELEC
2024-04-14 02:30:00-04:00,2024-04-14 02:45:00-04:00,0.39,ELEC
2024-04-14 02:45:00-04:00,2024-04-14 03:00:00-04:00,0.312,ELEC
2024-04-14 03:00:00-04:00,2024-04-14 03:15:00-04:00,0.306,ELEC
2024-04-14 03:15:00-04:00,2024-04-14 03:30:00-04:00,0.399,ELEC
2024-04-14 03:30:00-04:00,2024-04-14 03:45:00-04:00,0.318,ELEC
2024-04-14 03:45:00-04:00,2024-04-14 04:00:00-04:00,0.381,ELEC
2024-04-14 04:00:00-04:00,2024-04-14 04:15:00-04:00,0.3,ELEC
2024-04-14 04:15:00-04:00,2024-04-14 04:30:00-04:00,0.393,ELEC
2024-04-14 04:30:00-04:00,2024-04-14 04:45:00-04:00,0.399,ELEC
2024-04-14 04:45:00-04:00,2024-04-14 05:00:00-04:00,0.36,ELEC
2024-04-14 05:00:00-04:00,2024-04-14 05:15:00-04:00,0.375,ELEC
2024-04-14 05:15:00-04:00,2024-04-14 05:30:00-04:00,0.354,ELEC
2024-04-14 05:30:00-04:00,2024-04-14 05:45:00-04:00,0.324,ELEC
2024-04-14 05:45:00-04:00,2024-04-14 06:00:00-04:00,0.393,ELEC
2024-04-14 06:00:00-04:00,2024-04-14 06:15:00-04:00,0.438,ELEC
2024-04-14 06:15:00-04:00,2024-04-14 06:30:00-04:00,1.263,ELEC
2024-04-14 06:30:00-04:00,2024-04-14 06:45:00-04:00,0.477,ELEC
2024-04-14 06:45:00-04:00,2024-04-14 07:00:00-04:00,0.489,ELEC
2024-04-14 07:00:00-04:00,2024-04-14 07:15:00-04:00,0.402,ELEC
2024-04-14 07:15:00-04:00,2024-04-14 07:30:00-04:00,0.465,ELEC
2024-04-14 07:30:00-04:00,2024-04-14 07:45:00-04:00,1.605,ELEC
2024-04-14 07:45:00-04:00,2024-04-14 08:00:00-04:00,1.248,ELEC
2024-04-14 08:00:00-04:00,2024-04-14 08:15:00-04:00,1.386,ELEC
2024-04-14 08:15:00-04:00,2024-04-14 08:30:00-04:00,1.764,ELEC
2024-04-14 08:30:00-04:00,2024-04-14 08:45:00-04:00,1.038,ELEC
2024-04-14 08:45:00-04:00,2024-04-14 09:00:00-04:00,1.623,ELEC
2024-04-14 09:00:00-04:00,2024-04-14 09:15:00-04:00,1.14,ELEC
2024-04-14 09:15:00-04:00,2024-04-14 09:30:00-04:00,1.254,ELEC
2024-04-14 09:30:00-04:00,2024-04-14 09:45:00-04:00,1.056,ELEC
2024-04-14 09:45:00-04:00,2024-04-14 10:00:00-04:00,0.978,ELEC
2024-04-14 10:00:00-04:00,2024-04-14 10:15:00-04:00,1.017,ELEC
2024-04-14 10:15:00-04:00,2024-04-14 10:30:00-04:00,0.939,ELEC
2024-04-14 10:30:00-04:00,2024-04-14 10:45:00-04:00,0.873,ELEC
2024-04-14 10:45:00-04:00,2024-04-14 11:00:00-04:00,0.84,ELEC
2024-04-14 11:00:00-04:00,2024-04-14 11:15:00-04:00,0.885,ELEC
