,start_time,end_time,consumption,type
0,2024-06-28 00:00:00-04:00,2024-06-28 00:15:00-04:00,0.183,ELEC
1,2024-06-28 00:15:00-04:00,2024-06-28 00:30:00-04:00,0.18,ELEC
2,2024-06-28 00:30:00-04:00,2024-06-28 00:45:00-04:00,0.195,ELEC
3,2024-06-28 00:45:00-04:00,2024-06-28 01:00:00-04:00,0.186,ELEC
4,2024-06-28 01:00:00-04:00,2024-06-28 01:15:00-04:00,0.174,ELEC
5,2024-06-28 01:15:00-04:00,2024-06-28 01:30:00-04:00,0.177,ELEC
6,2024-06-28 01:30:00-04:00,2024-06-28 01:45:00-04:00,0.183,ELEC
7,2024-06-28 01:45:00-04:00,2024-06-28 02:00:00-04:00,0.204,ELEC
8,2024-06-28 02:00:00-04:00,2024-06-28 02:15:00-04:00,0.21,ELEC
9,2024-06-28 02:15:00-04:00,2024-06-28 02:30:00-04:00,0.18,ELEC
10,2024-06-28 02:30:00-04:00,2024-06-28 02:45:00-04:00,0.189,ELEC
11,2024-06-28 02:45:00-04:00,2024-06-28 03:00:00-04:00,0.192,ELEC
12,2024-06-28 03:00:00-04:00,2024-06-28 03:15:00-04:00,0.183,ELEC
13,2024-06-28 03:15:00-04:00,2024-06-28 03:30:00-04:00,0.162,ELEC
14,2024-06-28 03:30:00-04:00,2024-06-28 03:45:00-04:00,0.165,ELEC
15,2024-06-28 03:45:00-04:00,2024-06-28 04:00:00-04:00,0.228,ELEC
16,2024-06-28 04:00:00-04:00,2024-06-28 04:15:00-04:00,0.225,ELEC
17,2024-06-28 04:15:00-04:00,2024-06-28 04:30:00-04:00,0.198,ELEC
18,2024-06-28 04:30:00-04:00,2024-06-28 04:45:00-04:00,0.231,ELEC
19,2024-06-28 04:45:00-04:00,2024-06-28 05:00:00-04:00,0.213,ELEC
20,2024-06-28 05:00:00-04:00,2024-06-28 05:15:00-04:00,0.207,ELEC
21,2024-06-28 05:15:00-04:00,2024-06-28 05:30:00-04:00,0.183,ELEC
22,2024-06-28 05:30:00-04:00,2024-06-28 05:45:00-04:00,0.177,ELEC
23,2024-06-28 05:45:00-04:00,2024-06-28 06:00:00-04:00,0.189,ELEC
24,2024-06-28 06:00:00-04:00,2024-06-28 06:15:00-04:00,0.186,ELEC
25,2024-06-28 06:15:00-04:00,2024-06-28 06:30:00-04:00,0.156,ELEC
26,2024-06-28 06:30:00-04:00,2024-06-28 06:45:00-04:00,0.153,ELEC
27,2024-06-28 06:45:00-04:00,2024-06-28 07:00:00-04:00,0.207,ELEC
28,2024-06-28 07:00:00-04:00,2024-06-28 07:15:00-04:00,0.231,ELEC
29,2024-06-28 07:15:00-04:00,2024-06-28 07:30:00-04:00,0.183,ELEC
30,2024-06-28 07:30:00-04:00,2024-06-28 07:45:00-04:00,0.165,ELEC
31,2024-06-28 07:45:00-04:00,2024-06-28 08:00:00-04:00,0.174,ELEC
32,2024-06-28 08:00:00-04:00,2024-06-28 08:15:00-04:00,0.195,ELEC
33,2024-06-28 08:15:00-04:00,2024-06-28 08:30:00-04:00,0.156,ELEC
34,2024-06-28 08:30:00-04:00,2024-06-28 08:45:00-04:00,0.177,ELEC
35,2024-06-28 08:45:00-04:00,2024-06-28 09:00:00-04:00,0.201,ELEC
36,2024-06-28 09:00:00-04:00,2024-06-28 09:15:00-04:00,0.216,ELEC
37,2024-06-28 09:15:00-04:00,2024-06-28 09:30:00-04:00,0.168,ELEC
38,2024-06-28 09:30:00-04:00,2024-06-28 09:45:00-04:00,0.168,ELEC
39,2024-06-28 09:45:00-04:00,2024-06-28 10:00:00-04:00,0.201,ELEC
40,2024-06-28 10:00:00-04:00,2024-06-28 10:15:00-04:00,0.186,ELEC
41,2024-06-28 10:15:00-04:00,2024-06-28 10:30:00-04:00,0.165,ELEC
42,2024-06-28 10:30:00-04:00,2024-06-28 10:45:00-04:00,0.192,ELEC
43,2024-06-28 10:45:00-04:00,2024-06-28 11:00:00-04:00,0.189,ELEC
44,2024-06-28 11:00:00-04:00,2024-06-28 11:15:00-04:00,0.201,ELEC
45,2024-06-28 11:15:00-04:00,2024-06-28 11:30:00-04:00,0.18,ELEC
46,2024-06-28 11:30:00-04:00,2024-06-28 11:45:00-04:00,0.156,ELEC
47,2024-06-28 11:45:00-04:00,2024-06-28 12:00:00-04:00,0.162,ELEC
48,2024-06-28 12:00:00-04:00,2024-06-28 12:15:00-04:00,0.189,ELEC
49,2024-06-28 12:15:00-04:00,2024-06-28 12:30:00-04:00,0.189,ELEC
50,2024-06-28 12:30:00-04:00,2024-06-28 12:45:00-04:00,0.201,ELEC
51,2024-06-28 12:45:00-04:00,2024-06-28 13:00:00-04:00,0.219,ELEC
52,2024-06-28 13:00:00-04:00,2024-06-28 13:15:00-04:00,0.183,ELEC
53,2024-06-28 13:15:00-04:00,2024-06-28 13:30:00-04:00,0.162,ELEC
54,2024-06-28 13:30:00-04:00,2024-06-28 13:45:00-04:00,0.171,ELEC
55,2024-06-28 13:45:00-04:00,2024-06-28 14:00:00-04:00,0.489,ELEC
56,2024-06-28 14:00:00-04:00,2024-06-28 14:15:00-04:00,0.282,ELEC
57,2024-06-28 14:15:00-04:00,2024-06-28 14:30:00-04:00,0.234,ELEC
58,2024-06-28 14:30:00-04:00,2024-06-28 14:45:00-04:00,0.183,ELEC
59,2024-06-28 14:45:00-04:00,2024-06-28 15:00:00-04:00,0.171,ELEC
60,2024-06-28 15:00:00-04:00,2024-06-28 15:15:00-04:00,0.192,ELEC
61,2024-06-28 15:15:00-04:00,2024-06-28 15:30:00-04:00,0.177,ELEC
62,2024-06-28 15:30:00-04:00,2024-06-28 15:45:00-04:00,0.18,ELEC
63,2024-06-28 15:45:00-04:00,2024-06-28 16:00:00-04:00,0.168,ELEC
64,2024-06-28 16:00:00-04:00,2024-06-28 16:15:00-04:00,0.195,ELEC
65,2024-06-28 16:15:00-04:00,2024-06-28 16:30:00-04:00,0.192,ELEC
66,2024-06-28 16:30:00-04:00,2024-06-28 16:45:00-04:00,0.192,ELEC
