,start_time,end_time,consumption,type
0,2024-01-30 00:00:00-05:00,2024-01-30 00:15:00-05:00,0.654,ELEC
1,2024-01-30 00:15:00-05:00,2024-01-30 00:30:00-05:00,0.843,ELEC
2,2024-01-30 00:30:00-05:00,2024-01-30 00:45:00-05:00,0.849,ELEC
3,2024-01-30 00:45:00-05:00,2024-01-30 01:00:00-05:00,1.419,ELEC
4,2024-01-30 01:00:00-05:00,2024-01-30 01:15:00-05:00,0.801,ELEC
5,2024-01-30 01:15:00-05:00,2024-01-30 01:30:00-05:00,0.858,ELEC
6,2024-01-30 01:30:00-05:00,2024-01-30 01:45:00-05:00,1.599,ELEC
7,2024-01-30 01:45:00-05:00,2024-01-30 02:00:00-05:00,0.813,ELEC
8,2024-01-30 02:00:00-05:00,2024-01-30 02:15:00-05:00,0.999,ELEC
9,2024-01-30 02:15:00-05:00,2024-01-30 02:30:00-05:00,1.686,ELEC
10,2024-01-30 02:30:00-05:00,2024-01-30 02:45:00-05:00,0.858,ELEC
11,2024-01-30 02:45:00-05:00,2024-01-30 03:00:00-05:00,1.692,ELEC
12,2024-01-30 03:00:00-05:00,2024-01-30 03:15:00-05:00,0.816,ELEC
13,2024-01-30 03:15:00-05:00,2024-01-30 03:30:00-05:00,0.999,ELEC
14,2024-01-30 03:30:00-05:00,2024-01-30 03:45:00-05:00,1.467,ELEC
15,2024-01-30 03:45:00-05:00,2024-01-30 04:00:00-05:00,0.894,ELEC
16,2024-01-30 04:00:00-05:00,2024-01-30 04:15:00-05:00,1.263,ELEC
17,2024-01-30 04:15:00-05:00,2024-01-30 04:30:00-05:00,1.281,ELEC
18,2024-01-30 04:30:00-05:00,2024-01-30 04:45:00-05:00,0.885,ELEC
19,2024-01-30 04:45:00-05:00,2024-01-30 05:00:00-05:00,1.44,ELEC
20,2024-01-30 05:00:00-05:00,2024-01-30 05:15:00-05:00,0.921,ELEC
21,2024-01-30 05:15:00-05:00,2024-01-30 05:30:00-05:00,1.386,ELEC
22,2024-01-30 05:30:00-05:00,2024-01-30 05:45:00-05:00,0.948,ELEC
23,2024-01-30 05:45:00-05:00,2024-01-30 06:00:00-05:00,1.158,ELEC
24,2024-01-30 06:00:00-05:00,2024-01-30 06:15:00-05:00,1.653,ELEC
25,2024-01-30 06:15:00-05:00,2024-01-30 06:30:00-05:00,0.984,ELEC
26,2024-01-30 06:30:00-05:00,2024-01-30 06:45:00-05:00,2.418,ELEC
27,2024-01-30 06:45:00-05:00,2024-01-30 07:00:00-05:00,1.728,ELEC
28,2024-01-30 07:00:00-05:00,2024-01-30 07:15:00-05:00,2.646,ELEC
29,2024-01-30 07:15:00-05:00,2024-01-30 07:30:00-05:00,2.217,ELEC
30,2024-01-30 07:30:00-05:00,2024-01-30 07:45:00-05:00,2.232,ELEC
31,2024-01-30 07:45:00-05:00,2024-01-30 08:00:00-05:00,2.934,ELEC
32,2024-01-30 08:00:00-05:00,2024-01-30 08:15:00-05:00,2.382,ELEC
